,age,total,men,women,municipality_id,admin_unit_parent_id
0,0,7799,4077,3722,128,
1,1,8046,4168,3878,128,
2,2,8723,4469,4254,128,
3,3,9769,5027,4742,128,
4,4,10210,5235,4975,128,
5,5,11548,5885,5663,128,
6,6,11692,5953,5739,128,
7,7,10901,5611,5290,128,
8,8,10576,5398,5178,128,
9,9,10988,5730,5258,128,
10,10,10297,5273,5024,128,
11,11,10478,5405,5073,128,
12,12,11040,5621,5419,128,
13,13,10685,5464,5221,128,
14,14,9972,5057,4915,128,
15,15,9341,4777,4564,128,
16,16,9675,4885,4790,128,
17,17,9702,5021,4681,128,
18,18,10561,5514,5047,128,
19,19,11481,6244,5237,128,
20,20,10588,5703,4885,128,
21,21,10628,5683,4945,128,
22,22,9122,4869,4253,128,
23,23,8907,4618,4289,128,
24,24,8610,4441,4169,128,
25,25,9015,4536,4479,128,
26,26,9895,4946,4949,128,
27,27,10676,5393,5283,128,
28,28,12835,6206,6629,128,
29,29,15543,7029,8514,128,
30,30,16870,7825,9045,128,
31,31,17997,8254,9743,128,
32,32,18513,8767,9746,128,
33,33,18582,9741,8841,128,
34,34,18694,9118,9576,128,
35,35,18851,9178,9673,128,
36,36,18491,8856,9635,128,
37,37,17861,8775,9086,128,
38,38,18066,8884,9182,128,
39,39,16350,8031,8319,128,
40,40,15453,7468,7985,128,
41,41,16503,8129,8374,128,
42,42,15082,7210,7872,128,
43,43,15148,7206,7942,128,
44,44,14767,6856,7911,128,
45,45,14438,6898,7540,128,
46,46,14624,6775,7849,128,
47,47,13853,6531,7322,128,
48,48,13710,6383,7327,128,
49,49,13847,6449,7398,128,
50,50,12757,5887,6870,128,
51,51,13355,6323,7032,128,
52,52,11797,5506,6291,128,
53,53,11596,5309,6287,128,
54,54,11177,5034,6143,128,
55,55,11481,5166,6315,128,
56,56,12220,5429,6791,128,
57,57,11912,5298,6614,128,
58,58,12624,5482,7142,128,
59,59,12835,5525,7310,128,
60,60,13369,5642,7727,128,
61,61,14335,6004,8331,128,
62,62,13074,5252,7822,128,
63,63,12426,4860,7566,128,
64,64,12622,4978,7644,128,
65,65,12307,4799,7508,128,
66,66,11766,4278,7488,128,
67,67,12329,4522,7807,128,
68,68,11402,4114,7288,128,
69,69,11323,3973,7350,128,
70,70,10550,3543,7009,128,
71,71,10779,3854,6935,128,
72,72,10578,3550,7029,128,
73,73,9026,3124,5906,128,
74,74,8970,2990,5981,128,
75,75,7409,2321,5083,128,
76,76,4272,1344,2926,128,
77,77,2981,926,2053,128,
78,78,3045,896,2145,128,
79,79,4001,1169,2827,128,
80,80,5610,1492,4117,128,
81,81,6108,1762,4343,128,
82,82,5969,1589,4380,128,
83,83,5202,1288,3916,128,
84,84,5206,1191,4018,128,
85,85,4144,1010,3134,128,
86,86,3164,774,2391,128,
87,87,1721,447,1274,128,
88,88,1190,307,884,128,
89,89,1245,285,960,128,
90,90,1560,390,1171,128,
91,91,1770,432,1338,128,
92,92,762,146,615,128,
93,93,544,157,388,128,
94,94,140,17,122,128,
95,95,285,84,193,128,
96,96,281,84,187,128,
97,97,132,76,11,128,
98,98,391,37,430,128,
99,99,85,34,39,128,
100,100,350,95,255,128,
